City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Mar Del Plata,AR,-38.0023,-57.5575,60.94,88,0,12.66,clear sky
312,Killybegs,IE,54.6333,-8.45,50.29,90,100,19.01,overcast clouds
313,Rock Sound,BS,24.9,-76.2,80.44,71,0,21.18,clear sky
314,Srednekolymsk,RU,67.45,153.6833,-1.44,95,100,16.11,light snow
315,Mogok,MM,22.9167,96.5,69.04,66,0,1.12,clear sky
316,Pringsewu,ID,-5.3582,104.9744,80.26,80,100,5.39,overcast clouds
317,Uyovu,TZ,-3.2833,31.5258,64.44,94,100,1.66,light rain
318,Salalah,OM,17.0151,54.0924,75.52,84,21,3.18,few clouds
319,Aquiraz,BR,-3.9014,-38.3911,80.69,84,70,12.21,broken clouds
320,Mersing,MY,2.4312,103.8405,81.28,77,100,1.14,overcast clouds
321,Pisco,PE,-13.7,-76.2167,61.02,84,5,3.89,clear sky
322,Saint-Pierre,RE,-21.3393,55.4781,71.28,64,0,6.91,clear sky
323,San Quintin,MX,30.4833,-115.95,63.34,65,9,10.87,clear sky
324,Itamaraca,BR,-7.7478,-34.8256,77.02,82,26,5.77,scattered clouds
325,Dalvik,IS,65.9702,-18.5286,33.96,88,38,8.95,scattered clouds
326,Beisfjord,NO,68.3751,17.5988,44.04,97,100,2.35,overcast clouds
327,Meulaboh,ID,4.1363,96.1285,78.76,80,94,2.53,overcast clouds
328,Kaduna,NG,10.5222,7.4383,67.26,31,100,6.11,overcast clouds
329,Maiduguri,NG,11.8464,13.1603,69.26,24,67,7.47,broken clouds
330,Kayankulam,IN,9.1833,76.5,77.97,87,81,5.1,broken clouds
331,Vila Velha,BR,-20.3297,-40.2925,68.95,84,2,8.01,clear sky
332,Lompoc,US,34.6391,-120.4579,61.02,89,0,12.66,clear sky
333,Kirakira,SB,-10.4544,161.9205,84.2,75,32,3.06,scattered clouds
334,Rafai,CF,4.95,23.9167,67.6,97,92,1.16,overcast clouds
335,Sakura,JP,35.7167,140.2333,64.8,61,20,10.36,few clouds
336,Plattsburgh,US,44.6995,-73.4529,72.37,63,100,7.0,overcast clouds
